Club Logo,Preferred Foot,Flag,Work Rate,Weak Foot,Club,Contract Valid Until,Overall,International Reputation,Height,Photo,Potential,Nationality,Name,ID,Value,Body Type,Wage,Skill Moves,Real Face,Position,Weight,Special,Age
https://cdn.sofifa.net/teams/21/30.png,Right,https://cdn.sofifa.net/flags/de.png,High/ Medium,4.0,FC Bayern München,2026,87.0,4.0,189cm,https://cdn.sofifa.net/players/209/658/23_60.png,88.0,Germany,L. Goretzka,209658.0,€91M,Unique,€115K,3.0,Yes,"<span class=""pos pos28"">SUB",,2312.0,27.0
https://cdn.sofifa.net/teams/11/30.png,Right,https://cdn.sofifa.net/flags/pt.png,High/ High,3.0,Manchester United,2026,86.0,3.0,179cm,https://cdn.sofifa.net/players/212/198/23_60.png,87.0,Portugal,Bruno Fernandes,212198.0,€78.5M,Unique,€190K,4.0,Yes,"<span class=""pos pos15"">LCM",69kg,2305.0,27.0
https://cdn.sofifa.net/teams/481/30.png,Left,https://cdn.sofifa.net/flags/ar.png,High/ High,3.0,Sevilla FC,2024,85.0,2.0,172cm,https://cdn.sofifa.net/players/224/334/23_60.png,85.0,Argentina,M. Acuña,224334.0,€46.5M,Stocky (170-185),€46K,3.0,No,"<span class=""pos pos7"">LB",,2303.0,30.0
https://cdn.sofifa.net/teams/10/30.png,Right,https://cdn.sofifa.net/flags/be.png,High/ High,5.0,Manchester City,2025,91.0,4.0,181cm,https://cdn.sofifa.net/players/192/985/23_60.png,91.0,Belgium,K. De Bruyne,192985.0,€107.5M,Unique,€350K,4.0,Yes,"<span class=""pos pos13"">RCM",70kg,2303.0,31.0
https://cdn.sofifa.net/teams/21/30.png,Right,https://cdn.sofifa.net/flags/de.png,High/ Medium,4.0,FC Bayern München,2025,89.0,4.0,177cm,https://cdn.sofifa.net/players/212/622/23_60.png,90.0,Germany,J. Kimmich,212622.0,€105.5M,Normal (170-185),€130K,3.0,Yes,"<span class=""pos pos9"">RDM",75kg,2283.0,27.0
https://cdn.sofifa.net/teams/243/30.png,Left,https://cdn.sofifa.net/flags/at.png,Medium/ Medium,4.0,,2026,,4.0,180cm,https://cdn.sofifa.net/players/197/445/23_60.png,86.0,Austria,D. Alaba,197445.0,€55.5M,Normal (170-185),€220K,3.0,Yes,"<span class=""pos pos6"">LCB",78kg,2277.0,30.0
https://cdn.sofifa.net/teams/112387/30.png,Right,https://cdn.sofifa.net/flags/br.png,High/ High,4.0,Al Ahli,2024,83.0,3.0,183cm,https://cdn.sofifa.net/players/187/961/22_60.png,83.0,Brazil,22 Paulinho,187961.0,€28.5M,Normal (170-185),€61K,4.0,Yes,"<span class=""pos pos15"">LCM",80kg,2273.0,32.0
https://cdn.sofifa.net/teams/22/30.png,Right,https://cdn.sofifa.net/flags/de.png,Medium/ High,4.0,Borussia Dortmund,2024,82.0,3.0,186cm,https://cdn.sofifa.net/players/208/333/23_60.png,82.0,Germany,E. Can,208333.0,€30.5M,Stocky (185+),€63K,3.0,Yes,"<span class=""pos pos28"">SUB",86kg,2271.0,28.0
https://cdn.sofifa.net/teams/10/30.png,Right,https://cdn.sofifa.net/flags/pt.png,High/ Medium,4.0,Manchester City,2027,88.0,3.0,182cm,https://cdn.sofifa.net/players/210/514/23_60.png,88.0,Portugal,João Cancelo,210514.0,€82.5M,Unique,€250K,4.0,Yes,"<span class=""pos pos7"">LB",74kg,2262.0,28.0
https://cdn.sofifa.net/teams/52/30.png,Right,https://cdn.sofifa.net/flags/it.png,High/ High,4.0,Roma,2026,84.0,2.0,186cm,https://cdn.sofifa.net/players/228/251/23_60.png,87.0,Italy,L. Pellegrini,228251.0,€55M,Lean (185+),€95K,3.0,Yes,"<span class=""pos pos13"">RCM",77kg,2258.0,26.0
https://cdn.sofifa.net/teams/243/30.png,Right,https://cdn.sofifa.net/flags/hr.png,Medium/ Medium,4.0,Real Madrid CF,2023,88.0,4.0,172cm,https://cdn.sofifa.net/players/177/003/23_60.png,88.0,Croatia,L. Modrić,177003.0,€29M,Lean (170-185),€230K,4.0,Yes,"<span class=""pos pos13"">RCM",66kg,2257.0,36.0
https://cdn.sofifa.net/teams/46/30.png,Right,https://cdn.sofifa.net/flags/rs.png,High/ Medium,5.0,Lazio,2024,86.0,3.0,191cm,https://cdn.sofifa.net/players/223/848/23_60.png,87.0,Serbia,S. Milinković-Savić,223848.0,€77.5M,Normal (185+),€90K,4.0,Yes,"<span class=""pos pos13"">RCM",76kg,2250.0,27.0
https://cdn.sofifa.net/teams/457/30.png,Left,https://cdn.sofifa.net/flags/es.png,High/ High,3.0,Real Sociedad,,83.0,1.0,189cm,https://cdn.sofifa.net/players/225/193/23_60.png,86.0,Spain,Merino,225193.0,€47M,Normal (185+),€49K,3.0,Yes,"<span class=""pos pos15"">LCM",83kg,2247.0,26.0
https://cdn.sofifa.net/teams/240/30.png,Right,https://cdn.sofifa.net/flags/es.png,High/ Medium,4.0,Atlético de Madrid,2027,84.0,3.0,184cm,https://cdn.sofifa.net/players/226/161/23_60.png,85.0,Spain,Marcos Llorente,226161.0,€48M,Lean (170-185),€81K,,Yes,"<span class=""pos pos13"">RCM",74kg,2244.0,27.0
https://cdn.sofifa.net/teams/240/30.png,Right,https://cdn.sofifa.net/flags/ar.png,High/ Medium,3.0,Atlético de Madrid,2026,84.0,,180cm,https://cdn.sofifa.net/players/212/616/23_60.png,84.0,Argentina,R. De Paul,212616.0,€42M,Normal (170-185),€85K,4.0,No,"<span class=""pos pos28"">SUB",70kg,2240.0,28.0
https://cdn.sofifa.net/teams/18/30.png,Right,https://cdn.sofifa.net/flags/hr.png,High/ Medium,5.0,Tottenham Hotspur,2024,84.0,3.0,186cm,https://cdn.sofifa.net/players/181/458/23_60.png,84.0,Croatia,I. Perišić,181458.0,€26.5M,Lean (185+),€130K,4.0,Yes,"<span class=""pos pos28"">SUB",80kg,2238.0,33.0
https://cdn.sofifa.net/teams/241/30.png,Right,https://cdn.sofifa.net/flags/nl.png,High/ Medium,3.0,FC Barcelona,2026,87.0,3.0,180cm,https://cdn.sofifa.net/players/228/702/23_60.png,92.0,Netherlands,F. de Jong,228702.0,€116.5M,Unique,€230K,4.0,Yes,"<span class=""pos pos13"">RCM",74kg,2238.0,25.0
https://cdn.sofifa.net/teams/240/30.png,Left,https://cdn.sofifa.net/flags/fr.png,Medium/ Medium,3.0,Atlético de Madrid,"Jun 30, 2023",83.0,4.0,176cm,https://cdn.sofifa.net/players/194/765/23_60.png,83.0,France,A. Griezmann,194765.0,€30.5M,Unique,€185K,4.0,Yes,"<span class=""pos pos24"">RS",73kg,2235.0,31.0
