Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
09/17/1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2,1,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
07/12/1912,06:30,"AtlantiCity, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,,,5,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
08/06/1913,,"Victoria, British Columbia, Canada",Private,-,,Curtiss seaplane,,,1,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
09/09/1913,18:30,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),,,20,14,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
10/17/1913,10:30,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30,30,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
03/05/1915,01:00,"Tienen, Belgium",Military - German Navy,,,Zeppelin L-8 (airship),,,41,21,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
09/03/1915,15:20,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),,,19,19,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
07/28/1916,,"Near Jambol, Bulgeria",Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20,20,0,"Crashed near the Black Sea, cause unknown."
09/24/1916,01:00,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),,,22,22,0,Shot down by British aircraft crashing in flames.
10/01/1916,23:45,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),,,19,19,0,Shot down in flames by the British 39th Home Defence Squadron.
11/21/1916,,"Mainz, Germany",Military - German Army,,,Super Zeppelin (airship),,,28,27,0,Crashed in a storm.
11/28/1916,23:45,"Off West Hartlepool, England",Military - German Navy,,,Zeppelin L-34 (airship),,,20,20,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
03/04/1917,,"Near Gent, Belgium",Military - German Army,,,Airship,,,20,20,0,Caught fire and crashed.
03/30/1917,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23,23,0,Struck by lightning and crashed into the BaltiSea.
05/14/1917,05:15,"Near Texel Island, North Sea",Military - German Navy,,,Zeppelin L-22 (airship),,,21,21,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
06/14/1917,08:45,"Off Vlieland Island, North Sea",Military - German Navy,,,Zeppelin L-43 (airship),,,24,24,0,Shot down by British aircraft.
08/21/1917,07:00,Off western Denmark,Military - German Navy,,,Zeppelin L-23 (airship),,,18,18,0,Shot down by British aircraft.
10/20/1917,07:45,"Near Luneville, France",Military - German Navy,,,Zeppelin L-44 (airship),,,18,18,0,Shot down by French anti-aircraft fire.
04/07/1918,21:30,Over the Mediterranean,Military - German Navy,,,Zeppelin L-59 (airship),,,23,23,0,Exploded and crashed into the sea off the southern coast of Italy.
05/10/1918,,"Off Helgoland Island, Germany",Military - German Navy,,,Zeppelin L-70 (airship),,,22,22,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
08/11/1918,10:00,"Ameland Island, North Sea",Military - German Navy,,,Zeppelin L-53 (airship),,,19,19,0,Shot down by british aircraft.
12/16/1918,,"Elizabeth, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,97,,1,1,0,
05/25/1919,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,61,,1,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
07/19/1919,,"Dix Run, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,82,,1,1,0,
10/02/1919,,"Newcastle, England",Aircraft Transport and Travel,,,De Havilland DH-4,,,1,1,0,
10/14/1919,,"Cantonsville, Maryland",US Aerial Mail Service,,,Curtiss R-4LM,32,,1,1,0,
10/20/1919,,English Channel,Aircraft Transport and Travel,,,De Havilland DH-4,G-EAHG,,,,,
10/30/1919,,"Long Valley, New Jersey",US Aerial Mail Service,,,De Havilland DH.4,77,,1,1,0,
03/10/1920,,"New Paris, Indiana",US Aerial Mail Service,,,De Havilland DH-4,65,,1,1,0,
03/30/1920,,"Newark, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,72,,1,1,0,
04/10/1920,,"Newark, New Jersey",US Aerial Mail Service,,,Curtiss R-4LM,49,,2,1,0,
