,Customer_ID,Recency,Frequency,Monetary
0,1,344,2,16.29
1,2,195,2,22.77
2,3,364,3,10.92
3,4,52,5,33.29
4,5,179,5,78.82
5,6,275,3,25.55
6,7,87,1,17.84
7,8,193,1,9.78
8,9,286,1,15.75
9,10,323,1,110.31
10,11,337,1,6.35
11,12,359,1,21.0
12,13,324,3,53.24
13,14,288,8,308.43
14,15,357,1,3.82
15,16,257,2,62.160000000000004
16,17,355,3,31.84
17,18,346,1,1.9
18,19,262,2,99.94999999999999
19,20,302,4,28.25
20,21,287,1,9.35
21,22,351,1,6.75
22,23,101,1,1.84
23,24,323,4,57.17
24,25,310,3,7.98
25,26,273,12,100.87
26,27,129,2,14.629999999999999
27,28,343,2,28.69
28,29,268,1,13.83
29,30,258,8,86.26
30,31,285,2,7.16
31,32,252,2,5.3100000000000005
32,33,277,6,56.21
33,34,284,1,6.35
34,35,341,1,4.71
35,36,262,5,112.9
36,37,334,1,2.49
37,38,183,2,12.620000000000001
38,39,358,1,10.98
39,40,331,8,141.87
40,41,354,4,22.03
41,42,99,3,30.349999999999998
42,43,262,6,36.31
43,44,93,20,152.76
44,45,200,5,57.22
45,46,272,7,100.72
46,47,129,4,18.919999999999998
47,48,283,8,259.96
48,49,290,2,12.34
49,50,334,5,35.59
50,51,308,2,40.85
51,52,310,5,17.93
52,53,275,1,8.65
53,54,256,3,15.96
54,55,296,2,26.959999999999997
55,56,299,3,10.83
56,57,273,5,50.64
57,58,331,1,5.79
58,59,286,3,11.399999999999999
59,60,362,1,6.24
60,61,308,2,12.42
61,62,280,2,12.610000000000001
62,63,301,8,48.42
63,64,308,1,176.37
64,65,269,10,72.16
65,66,295,2,23.83
66,67,198,3,86.42
67,68,299,2,16.91
68,69,345,2,12.18
69,70,353,5,55.15
70,71,256,2,12.510000000000002
71,72,318,1,13.68
72,73,317,1,2.11
73,74,316,5,55.31
74,75,347,5,66.85
75,76,285,2,16.37
76,77,152,4,25.12
77,78,358,3,85.91
78,79,330,3,10.950000000000001
79,80,351,1,11.37
80,81,311,1,5.59
81,82,170,2,13.299999999999999
82,83,319,5,45.82
83,84,134,6,30.52
84,85,261,4,42.41
85,86,350,1,6.07
86,87,161,2,14.65
87,88,347,2,15.8
88,89,283,2,15.27
89,90,292,1,4.02
90,91,317,6,86.07000000000001
91,92,294,2,4.37
92,93,323,9,140.72
93,94,341,4,21.21
94,95,270,10,97.15
95,96,275,4,98.22
96,97,323,4,25.509999999999998
97,98,270,1,4.77
98,99,195,12,97.23
99,100,363,2,13.129999999999999
100,101,99,6,31.52
101,102,322,2,34.33
102,103,331,1,8.32
103,104,331,6,40.92
104,105,285,8,231.35
105,106,316,3,15.41
106,107,350,4,40.55
107,108,93,3,17.82
108,109,302,18,458.81
109,110,275,3,15.760000000000002
110,111,344,1,5.88
111,112,288,15,449.41999999999996
112,113,176,6,37.53
113,114,240,1,8.8
114,115,118,5,39.69
115,116,253,2,11.87
116,117,360,1,4.19
117,118,215,8,126.53999999999999
118,119,268,4,27.48
119,120,313,1,3.21
120,121,328,3,15.29
121,122,240,5,29.939999999999998
122,123,290,4,35.29
123,124,361,3,64.81
124,125,299,1,7.23
125,126,233,1,5.66
126,127,332,1,11.18
127,128,276,6,35.75
128,129,357,1,7.23
129,130,307,3,14.879999999999999
130,131,342,14,192.89
131,132,262,1,3.0
132,133,360,3,16.43
133,134,338,2,14.86
134,135,149,2,21.869999999999997
135,136,296,2,18.27
136,137,354,3,22.38
137,138,234,2,5.79
138,139,316,1,6.35
139,140,251,8,74.67
140,141,317,1,9.0
141,142,346,1,10.5
142,143,336,2,16.450000000000003
143,144,360,2,7.41
144,145,358,4,41.41
145,146,346,1,7.44
146,147,340,2,16.31
147,148,249,1,10.81
148,149,204,6,22.89
149,150,32,1,3.88
150,151,231,1,20.75
151,152,238,1,5.88
152,153,310,2,38.74
153,154,289,1,1.5
154,155,114,2,40.19
155,156,145,7,98.69000000000001
156,157,194,1,2.43
157,158,323,3,16.81
158,159,334,2,44.55
159,160,310,1,14.25
160,161,254,1,6.35
161,162,354,5,70.26
162,163,136,2,18.34
163,164,338,1,5.79
164,165,270,22,353.63
165,166,309,1,2.37
166,167,270,6,56.82000000000001
167,168,302,3,54.9
168,169,320,2,14.52
169,170,337,2,8.59
170,171,333,2,10.16
171,172,287,1,2.59
172,173,283,2,71.7
173,174,96,9,637.0
174,175,197,1,5.32
175,176,339,3,10.69
176,177,142,2,26.8
177,178,364,2,58.99
178,179,210,8,90.99000000000001
179,180,354,7,62.52
180,181,309,11,278.22
181,182,332,4,183.77
182,183,263,10,64.79
183,184,288,1,2.11
184,185,319,2,48.489999999999995
185,186,280,8,67.71
186,187,321,1,5.12
187,188,285,10,233.6
188,189,273,2,30.52
189,190,298,3,46.79
190,191,363,1,4.38
191,192,158,1,5.56
192,193,327,11,122.87
193,194,350,4,15.02
194,195,364,2,13.1
195,196,353,1,62.52
196,197,308,2,21.94
197,198,325,14,196.39
198,199,355,2,25.89
199,200,330,1,16.86
200,201,292,4,23.990000000000002
201,202,339,3,211.64000000000001
202,203,327,1,6.68
203,204,318,1,7.94
204,205,295,7,49.55
205,206,264,1,7.12
206,207,273,1,6.75
207,208,146,6,48.8
208,209,33,2,13.0
209,210,272,9,284.15
210,211,138,1,11.0
211,212,288,4,26.060000000000002
212,213,184,9,112.03
213,214,229,2,49.900000000000006
214,215,237,2,12.23
215,216,358,1,2.13
216,217,122,13,263.49
217,218,309,3,25.46
218,219,356,1,7.3
219,220,320,2,13.07
220,221,126,5,36.97
221,222,135,7,35.67
222,223,156,2,9.06
223,224,286,3,21.69
224,225,298,2,15.25
225,226,287,8,83.62
226,227,327,2,3.28
227,228,282,10,106.72
228,229,354,3,15.149999999999999
229,230,320,4,117.32
230,231,250,3,29.1
231,232,347,2,538.88
232,233,255,2,6.75
233,234,355,2,13.09
234,235,331,3,21.22
235,236,97,2,22.310000000000002
236,237,234,2,12.0
237,238,187,2,4.07
238,239,259,3,19.67
239,240,337,1,36.97
240,241,333,3,18.0
241,242,320,3,42.16
242,243,266,1,22.54
243,244,249,1,11.69
244,245,303,10,644.64
245,246,284,7,36.87
246,247,181,1,7.23
247,248,283,1,1.06
248,249,301,2,12.450000000000001
249,250,270,9,90.33
250,251,147,4,19.57
251,252,314,2,8.46
252,253,309,1,42.42
253,254,220,4,28.05
254,255,232,1,3.69
255,256,317,8,62.37
256,257,333,7,84.81
257,258,326,1,7.9
258,259,276,7,73.72000000000001
259,260,280,8,46.18
260,261,141,1,15.12
261,262,271,5,163.95999999999998
262,263,266,9,111.32
263,264,304,3,21.3
264,265,31,4,23.39
265,266,285,22,555.29
266,267,313,4,173.45000000000002
267,268,259,1,6.21
268,269,360,3,10.27
269,270,334,2,7.41
270,271,280,1,10.02
271,272,340,2,14.620000000000001
272,273,354,1,4.26
273,274,302,20,199.78
274,275,296,22,131.47
275,276,171,2,7.5
276,277,344,2,4.12
277,278,205,1,11.04
278,279,297,10,103.29
279,280,330,1,9.0
280,281,289,1,7.57
281,282,270,15,151.27
282,283,329,4,19.29
283,284,286,2,9.69
284,285,249,4,12.56
285,286,296,3,14.02
286,287,247,1,6.07
287,288,248,14,65.59
288,289,288,8,44.71
289,290,295,2,16.240000000000002
290,291,324,1,5.87
291,292,289,2,16.73
292,293,121,4,22.88
293,294,334,1,8.52
294,295,355,2,13.170000000000002
295,296,257,6,74.73
296,297,307,4,72.43
297,298,185,3,22.42
298,299,358,3,11.030000000000001
299,300,337,3,6.61
300,301,294,10,104.88
301,302,330,2,28.980000000000004
302,303,282,2,10.969999999999999
303,304,354,4,35.69
304,305,284,2,47.120000000000005
305,306,177,1,44.37
306,307,355,1,7.94
307,308,137,8,169.93
308,309,198,1,4.49
309,310,19,2,13.93
310,311,298,1,50.69
311,312,338,4,78.88
312,313,337,1,10.5
313,314,180,2,8.04
314,315,277,5,21.83
315,316,350,2,10.46
316,317,291,2,14.27
317,318,349,1,45.41
318,319,337,4,213.57
319,320,339,4,92.17999999999999
320,321,316,2,7.539999999999999
321,322,306,4,79.21
322,323,280,1,15.18
323,324,302,2,25.29
324,325,299,6,48.09
325,326,269,1,14.97
326,327,324,2,13.059999999999999
327,328,205,6,85.09
328,329,347,3,25.689999999999998
329,330,344,1,10.02
330,331,337,1,3.41
331,332,277,8,84.88999999999999
332,333,139,2,12.0
333,334,257,24,645.78
334,335,307,1,4.91
335,336,283,1,6.33
336,337,257,3,21.78
337,338,298,5,115.78999999999999
338,339,297,39,777.1800000000001
339,340,298,1,4.02
340,341,346,1,11.25
341,342,252,6,33.989999999999995
342,343,364,1,6.75
343,344,254,15,82.78
344,345,339,2,11.68
345,346,220,6,84.06
346,347,298,10,120.53999999999999
347,348,126,4,73.71
348,349,302,1,12.25
349,350,345,4,17.259999999999998
350,351,296,2,17.18
351,352,322,1,36.97
352,353,255,8,89.14
353,354,211,3,92.93
354,355,315,1,20.19
355,356,332,1,6.62
356,357,309,5,37.42
357,358,82,3,14.309999999999999
358,359,351,2,68.72999999999999
359,360,313,1,3.53
360,361,329,3,19.51
361,362,169,2,40.13
362,363,242,2,16.38
363,364,289,1,19.63
364,365,288,1,3.82
365,366,304,11,84.3
366,367,335,1,3.96
367,368,329,4,34.03
368,369,311,1,9.0
369,370,341,2,5.19
370,371,308,1,2.21
371,372,295,2,16.36
372,373,360,2,15.36
373,374,300,4,15.82
374,375,330,3,70.27
375,376,321,1,3.81
376,377,268,1,11.0
377,378,140,1,6.75
378,379,352,1,36.63
379,380,282,1,4.02
380,381,324,1,6.68
381,382,142,9,75.81
382,383,325,6,68.65
383,384,346,1,39.75
384,385,206,2,22.33
385,386,186,12,110.31
386,387,274,1,9.5
387,388,219,2,34.629999999999995
388,389,333,1,8.18
389,390,301,2,14.44
390,391,358,3,21.86
391,392,193,1,5.38
392,393,301,7,88.62
393,394,313,2,13.31
394,395,321,11,414.46
395,396,336,1,5.79
396,397,270,2,21.86
397,398,137,7,150.93
398,399,364,2,10.43
399,400,231,1,4.81
400,401,184,2,6.54
401,402,255,1,3.88
402,403,274,5,32.620000000000005
403,404,23,1,15.08
404,405,281,3,51.19
405,406,303,2,18.880000000000003
406,407,286,1,7.44
407,408,176,8,142.83
408,409,338,1,7.88
409,410,271,11,81.33
410,411,292,1,2.97
411,412,327,5,60.59
412,413,209,4,31.43
413,414,178,5,67.23
414,415,295,4,31.8
415,416,294,4,52.15
416,417,240,1,9.13
417,418,312,1,19.12
418,419,285,2,200.63
419,420,148,4,45.82
420,421,304,3,33.4
421,422,313,3,28.36
422,423,184,3,208.23000000000002
423,424,274,11,164.98
424,425,333,1,3.34
425,426,235,1,11.5
426,427,364,3,15.19
427,428,362,1,4.91
428,429,353,5,25.53
429,430,319,1,21.54
430,431,314,1,5.03
431,432,282,14,288.31
432,433,311,2,15.329999999999998
433,434,318,3,15.61
434,435,319,1,14.37
435,436,118,4,32.08
436,437,254,1,4.02
437,438,254,1,5.73
438,439,301,5,87.03
439,440,205,1,7.27
440,441,284,1,25.18
441,442,47,2,11.75
442,443,274,1,12.64
443,444,255,5,25.540000000000003
444,445,318,1,24.93
445,446,144,2,14.760000000000002
446,447,226,6,62.04
447,448,239,2,66.04
448,449,348,3,26.740000000000002
449,450,259,4,47.480000000000004
450,451,29,2,7.5
451,452,320,2,18.8
452,453,31,1,21.12
453,454,312,2,10.440000000000001
454,455,248,1,116.46
455,456,280,3,15.11
456,457,316,1,55.43
457,458,309,2,39.82
458,459,351,2,7.74
459,460,170,1,6.75
460,461,337,2,22.19
461,462,358,2,18.54
462,463,212,1,8.46
463,464,334,3,48.150000000000006
464,465,275,1,3.18
465,466,281,4,48.69
466,467,327,1,9.35
467,468,358,1,1.36
468,469,265,5,24.92
469,470,281,2,11.18
470,471,277,1,4.26
471,472,101,7,41.83
472,473,283,11,75.8
473,474,320,4,23.42
474,475,81,2,25.98
475,476,310,1,3.07
476,477,130,3,73.5
477,478,105,1,19.68
478,479,170,1,35.37
479,480,269,1,5.73
480,481,294,3,15.280000000000001
481,482,277,5,41.9
482,483,344,1,15.99
483,484,127,1,11.62
484,485,261,3,79.08
485,486,353,2,6.01
486,487,343,1,7.9
487,488,310,3,16.58
488,489,336,1,14.92
489,490,339,3,13.14
490,491,280,3,38.230000000000004
491,492,337,2,7.26
492,493,336,2,26.88
493,494,256,2,30.57
494,495,163,4,18.95
495,496,320,4,75.67
496,497,161,4,31.229999999999997
497,498,330,2,24.0
498,499,288,8,66.59
499,500,302,1,4.44
500,501,300,9,61.59
501,502,291,2,18.27
502,503,260,2,7.789999999999999
503,504,156,10,173.57999999999998
504,505,348,1,8.46
505,506,339,4,35.42
506,507,344,1,5.45
507,508,151,3,92.93
508,509,351,2,10.26
509,510,131,3,16.5
510,511,270,1,83.2
511,512,308,7,51.86
512,513,123,1,10.39
513,514,337,1,2.86
514,515,293,4,43.44
515,516,131,2,12.43
516,517,343,1,6.54
517,518,144,3,25.98
518,519,308,1,13.07
519,520,313,1,9.93
520,521,286,4,62.5
521,522,238,1,4.57
522,523,324,6,200.29
523,524,355,2,32.629999999999995
524,525,329,3,16.14
