ID,Best Position,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure
176580,ST,80.0,91.0,83.0,82.0,90.0,85.0,86.0,82.0,77.0,84.0,76.0,70.0,79.0,92.0,79.0,88.0,69.0,82.0,86.0,86.0,87.0,41.0,92.0,84.0,83.0,85.0
194765,CF,83.0,89.0,84.0,85.0,87.0,88.0,86.0,85.0,82.0,90.0,82.0,79.0,90.0,92.0,83.0,82.0,90.0,87.0,63.0,83.0,73.0,49.0,90.0,86.0,86.0,89.0
212198,CAM,87.0,77.0,58.0,86.0,86.0,85.0,86.0,87.0,87.0,87.0,79.0,77.0,80.0,84.0,79.0,89.0,72.0,94.0,67.0,89.0,70.0,74.0,83.0,88.0,90.0,86.0
192985,CAM,94.0,82.0,55.0,92.0,82.0,87.0,85.0,83.0,91.0,91.0,77.0,76.0,78.0,91.0,76.0,91.0,63.0,89.0,74.0,90.0,76.0,63.0,88.0,94.0,82.0,91.0
224334,LB,87.0,66.0,57.0,81.0,68.0,87.0,88.0,78.0,78.0,87.0,78.0,75.0,83.0,83.0,90.0,82.0,63.0,90.0,80.0,81.0,84.0,78.0,81.0,82.0,76.0,87.0
212462,LWB,90.0,65.0,67.0,84.0,67.0,82.0,87.0,79.0,87.0,83.0,84.0,85.0,73.0,83.0,70.0,87.0,80.0,91.0,68.0,83.0,78.0,80.0,75.0,76.0,81.0,78.0
187961,CM,67.0,85.0,85.0,83.0,75.0,83.0,66.0,75.0,77.0,84.0,74.0,71.0,70.0,82.0,81.0,83.0,92.0,92.0,82.0,80.0,81.0,80.0,84.0,84.0,71.0,81.0
178518,CDM,73.0,75.0,59.0,85.0,75.0,83.0,73.0,68.0,82.0,84.0,72.0,72.0,75.0,85.0,83.0,84.0,75.0,89.0,76.0,88.0,88.0,86.0,84.0,80.0,63.0,84.0
197445,CB,82.0,63.0,76.0,82.0,68.0,79.0,78.0,85.0,79.0,82.0,79.0,85.0,78.0,84.0,78.0,85.0,83.0,85.0,75.0,80.0,69.0,82.0,76.0,77.0,79.0,80.0
181872,CB,76.0,75.0,82.0,82.0,78.0,76.0,76.0,68.0,81.0,82.0,68.0,67.0,73.0,86.0,77.0,84.0,85.0,86.0,83.0,82.0,93.0,85.0,83.0,82.0,81.0,83.0
177003,CM,86.0,72.0,55.0,91.0,76.0,87.0,85.0,78.0,88.0,92.0,77.0,71.0,91.0,88.0,92.0,79.0,68.0,84.0,58.0,82.0,62.0,79.0,78.0,90.0,82.0,92.0
158023,RW,88.0,95.0,70.0,92.0,88.0,97.0,93.0,94.0,92.0,96.0,91.0,84.0,93.0,95.0,95.0,86.0,68.0,75.0,68.0,94.0,48.0,40.0,94.0,94.0,75.0,96.0
181291,CM,69.0,74.0,77.0,87.0,73.0,85.0,77.0,67.0,81.0,88.0,78.0,76.0,84.0,86.0,88.0,78.0,81.0,93.0,74.0,71.0,75.0,79.0,79.0,79.0,74.0,86.0
185103,LB,90.0,60.0,80.0,78.0,64.0,80.0,85.0,88.0,77.0,77.0,71.0,68.0,62.0,83.0,58.0,95.0,79.0,82.0,74.0,86.0,86.0,82.0,78.0,77.0,80.0,90.0
203551,RB,77.0,70.0,72.0,77.0,87.0,78.0,73.0,79.0,75.0,79.0,85.0,79.0,87.0,80.0,82.0,82.0,74.0,87.0,63.0,82.0,79.0,79.0,82.0,76.0,76.0,80.0
212622,CDM,91.0,66.0,74.0,87.0,67.0,83.0,85.0,61.0,85.0,85.0,77.0,68.0,84.0,87.0,84.0,76.0,79.0,94.0,66.0,71.0,86.0,80.0,80.0,84.0,44.0,85.0
176676,LB,88.0,73.0,74.0,84.0,63.0,89.0,84.0,67.0,77.0,93.0,83.0,78.0,85.0,85.0,86.0,82.0,76.0,77.0,77.0,70.0,81.0,80.0,83.0,80.0,59.0,85.0
195864,CM,80.0,75.0,75.0,86.0,84.0,87.0,85.0,82.0,90.0,90.0,67.0,79.0,73.0,81.0,66.0,90.0,82.0,84.0,89.0,82.0,78.0,64.0,83.0,88.0,83.0,87.0
189332,LB,86.0,73.0,70.0,84.0,60.0,81.0,80.0,63.0,79.0,85.0,90.0,88.0,91.0,84.0,85.0,64.0,81.0,89.0,61.0,66.0,77.0,82.0,83.0,78.0,59.0,82.0
173731,RW,87.0,83.0,84.0,80.0,85.0,82.0,90.0,87.0,79.0,85.0,89.0,91.0,79.0,79.0,65.0,92.0,84.0,73.0,77.0,89.0,65.0,59.0,83.0,79.0,76.0,85.0
155862,CB,66.0,63.0,92.0,80.0,69.0,65.0,74.0,72.0,83.0,83.0,74.0,71.0,78.0,87.0,66.0,79.0,93.0,80.0,85.0,62.0,90.0,88.0,67.0,71.0,86.0,84.0
20801,ST,84.0,94.0,89.0,83.0,87.0,89.0,81.0,76.0,77.0,92.0,88.0,91.0,87.0,96.0,71.0,95.0,95.0,85.0,78.0,93.0,63.0,29.0,95.0,82.0,85.0,95.0
209658,CAM,75.0,76.0,80.0,84.0,68.0,81.0,76.0,75.0,79.0,84.0,84.0,78.0,76.0,84.0,70.0,79.0,74.0,86.0,75.0,83.0,80.0,79.0,79.0,82.0,60.0,80.0
201942,CF,73.0,84.0,78.0,87.0,85.0,90.0,81.0,65.0,76.0,91.0,78.0,77.0,84.0,90.0,85.0,83.0,81.0,88.0,74.0,79.0,73.0,58.0,89.0,87.0,72.0,88.0
200145,CDM,58.0,64.0,80.0,84.0,63.0,69.0,63.0,74.0,84.0,78.0,58.0,66.0,62.0,87.0,66.0,88.0,87.0,90.0,90.0,81.0,91.0,87.0,72.0,80.0,66.0,84.0
193283,CB,67.0,72.0,83.0,77.0,66.0,74.0,71.0,68.0,79.0,76.0,78.0,77.0,73.0,81.0,73.0,78.0,91.0,90.0,77.0,74.0,84.0,86.0,75.0,74.0,60.0,78.0
200458,LB,87.0,60.0,71.0,81.0,68.0,78.0,82.0,83.0,73.0,83.0,78.0,78.0,69.0,83.0,78.0,83.0,92.0,85.0,69.0,76.0,76.0,82.0,72.0,74.0,60.0,80.0
208574,LM,88.0,74.0,59.0,75.0,70.0,85.0,79.0,80.0,73.0,83.0,89.0,87.0,76.0,81.0,76.0,84.0,67.0,91.0,77.0,78.0,78.0,63.0,79.0,81.0,64.0,80.0
172522,RB,80.0,75.0,69.0,81.0,71.0,76.0,81.0,85.0,82.0,81.0,76.0,77.0,74.0,80.0,71.0,85.0,67.0,87.0,74.0,79.0,74.0,78.0,75.0,78.0,64.0,75.0
177413,CDM,69.0,71.0,84.0,90.0,77.0,79.0,71.0,68.0,85.0,84.0,65.0,73.0,75.0,86.0,69.0,76.0,78.0,83.0,83.0,71.0,77.0,83.0,75.0,82.0,76.0,92.0
209331,RW,79.0,90.0,59.0,84.0,79.0,90.0,83.0,69.0,75.0,89.0,94.0,92.0,91.0,92.0,91.0,80.0,69.0,85.0,75.0,84.0,63.0,55.0,91.0,84.0,81.0,90.0
193747,CM,86.0,72.0,61.0,89.0,56.0,82.0,85.0,76.0,87.0,85.0,70.0,67.0,73.0,87.0,80.0,84.0,63.0,92.0,75.0,81.0,79.0,79.0,82.0,85.0,59.0,84.0
146530,CAM,85.0,61.0,71.0,83.0,68.0,84.0,80.0,74.0,81.0,86.0,75.0,77.0,84.0,80.0,87.0,86.0,80.0,74.0,55.0,78.0,82.0,79.0,78.0,79.0,70.0,83.0
183711,CM,82.0,69.0,65.0,86.0,71.0,78.0,80.0,74.0,87.0,84.0,67.0,66.0,69.0,86.0,70.0,77.0,77.0,91.0,76.0,72.0,82.0,84.0,78.0,83.0,64.0,78.0
208722,LW,76.0,90.0,84.0,85.0,75.0,91.0,76.0,64.0,71.0,89.0,95.0,93.0,93.0,93.0,86.0,84.0,86.0,88.0,70.0,78.0,75.0,35.0,92.0,85.0,71.0,84.0
215071,RM,79.0,69.0,65.0,77.0,65.0,81.0,79.0,61.0,67.0,79.0,85.0,91.0,89.0,77.0,85.0,83.0,79.0,91.0,73.0,75.0,87.0,73.0,81.0,77.0,63.0,81.0
135507,CB,68.0,69.0,71.0,86.0,74.0,77.0,70.0,72.0,81.0,82.0,68.0,64.0,69.0,88.0,77.0,83.0,84.0,79.0,76.0,78.0,87.0,89.0,70.0,73.0,61.0,81.0
223848,CM,64.0,80.0,86.0,85.0,74.0,86.0,78.0,75.0,85.0,87.0,66.0,67.0,65.0,80.0,59.0,83.0,85.0,85.0,88.0,80.0,73.0,78.0,79.0,85.0,56.0,82.0
189509,CM,78.0,69.0,54.0,88.0,86.0,90.0,85.0,77.0,87.0,91.0,74.0,62.0,91.0,85.0,90.0,76.0,76.0,75.0,59.0,79.0,54.0,83.0,79.0,85.0,75.0,86.0
219683,CM,67.0,75.0,82.0,82.0,62.0,76.0,66.0,73.0,84.0,82.0,73.0,75.0,75.0,82.0,74.0,82.0,83.0,84.0,76.0,81.0,81.0,76.0,79.0,80.0,70.0,74.0
208421,CM,69.0,78.0,83.0,85.0,76.0,81.0,72.0,60.0,83.0,85.0,69.0,69.0,73.0,82.0,69.0,82.0,80.0,87.0,77.0,81.0,74.0,79.0,82.0,82.0,55.0,83.0
208333,CDM,70.0,64.0,74.0,82.0,69.0,80.0,67.0,64.0,81.0,83.0,66.0,78.0,73.0,79.0,71.0,84.0,77.0,86.0,86.0,78.0,86.0,82.0,76.0,80.0,60.0,82.0
205070,RW,80.0,83.0,77.0,83.0,72.0,85.0,80.0,64.0,79.0,81.0,90.0,90.0,82.0,78.0,82.0,82.0,75.0,90.0,73.0,75.0,82.0,55.0,80.0,80.0,53.0,74.0
209297,CM,74.0,69.0,53.0,80.0,70.0,81.0,74.0,74.0,81.0,83.0,79.0,77.0,86.0,83.0,87.0,78.0,80.0,86.0,56.0,70.0,81.0,82.0,71.0,80.0,66.0,82.0
228702,CM,75.0,64.0,66.0,90.0,69.0,88.0,84.0,64.0,86.0,89.0,80.0,80.0,84.0,88.0,79.0,68.0,76.0,90.0,74.0,62.0,70.0,82.0,73.0,86.0,45.0,90.0
231281,RWB,93.0,56.0,68.0,85.0,50.0,77.0,86.0,84.0,87.0,86.0,78.0,84.0,74.0,83.0,74.0,79.0,66.0,87.0,62.0,70.0,74.0,81.0,73.0,82.0,55.0,78.0
180206,CM,81.0,56.0,60.0,90.0,72.0,86.0,86.0,92.0,87.0,89.0,69.0,67.0,75.0,84.0,81.0,78.0,60.0,83.0,61.0,82.0,70.0,78.0,68.0,88.0,79.0,86.0
211117,CAM,68.0,82.0,83.0,83.0,79.0,84.0,75.0,68.0,80.0,85.0,68.0,76.0,75.0,84.0,65.0,78.0,71.0,89.0,72.0,79.0,81.0,74.0,86.0,83.0,76.0,87.0
210243,RB,82.0,63.0,65.0,83.0,59.0,82.0,78.0,50.0,78.0,82.0,85.0,86.0,81.0,85.0,79.0,74.0,75.0,88.0,67.0,64.0,75.0,81.0,75.0,76.0,61.0,81.0
199914,CDM,70.0,74.0,59.0,84.0,56.0,82.0,65.0,49.0,79.0,83.0,79.0,71.0,82.0,88.0,86.0,73.0,69.0,94.0,79.0,69.0,90.0,88.0,79.0,80.0,53.0,85.0
193165,RM,84.0,69.0,71.0,79.0,75.0,89.0,85.0,67.0,68.0,85.0,88.0,79.0,91.0,84.0,87.0,66.0,72.0,89.0,39.0,63.0,73.0,78.0,79.0,78.0,68.0,85.0
209989,CDM,74.0,68.0,68.0,85.0,56.0,83.0,69.0,70.0,83.0,83.0,69.0,75.0,75.0,84.0,50.0,85.0,83.0,91.0,81.0,84.0,83.0,84.0,73.0,83.0,49.0,84.0
189125,CM,82.0,70.0,70.0,84.0,78.0,83.0,78.0,78.0,80.0,85.0,73.0,73.0,75.0,78.0,77.0,84.0,68.0,79.0,63.0,86.0,68.0,72.0,78.0,80.0,68.0,80.0
188377,RB,80.0,51.0,74.0,77.0,57.0,79.0,76.0,71.0,76.0,79.0,87.0,94.0,66.0,83.0,70.0,86.0,83.0,89.0,79.0,69.0,78.0,80.0,68.0,69.0,63.0,75.0
191043,LB,84.0,55.0,76.0,81.0,68.0,80.0,78.0,59.0,71.0,81.0,79.0,85.0,78.0,84.0,77.0,80.0,79.0,91.0,78.0,72.0,82.0,82.0,70.0,70.0,60.0,80.0
210035,LWB,84.0,52.0,65.0,81.0,61.0,84.0,85.0,81.0,79.0,83.0,86.0,84.0,84.0,83.0,86.0,79.0,64.0,90.0,63.0,79.0,69.0,81.0,75.0,68.0,54.0,83.0
197965,RM,82.0,79.0,45.0,86.0,78.0,83.0,83.0,77.0,83.0,85.0,82.0,73.0,77.0,84.0,77.0,76.0,67.0,88.0,59.0,78.0,68.0,70.0,87.0,86.0,78.0,85.0
162347,CM,85.0,73.0,70.0,87.0,76.0,82.0,84.0,81.0,85.0,86.0,60.0,53.0,76.0,79.0,85.0,77.0,71.0,78.0,58.0,79.0,71.0,72.0,74.0,87.0,70.0,89.0
192638,LB,83.0,68.0,83.0,83.0,73.0,78.0,85.0,86.0,73.0,83.0,68.0,65.0,64.0,82.0,58.0,84.0,72.0,91.0,76.0,77.0,75.0,79.0,77.0,69.0,64.0,75.0
173210,CM,76.0,56.0,64.0,85.0,78.0,84.0,78.0,78.0,81.0,85.0,75.0,77.0,78.0,80.0,79.0,82.0,68.0,77.0,73.0,78.0,78.0,78.0,78.0,84.0,78.0,84.0
190871,LW,87.0,87.0,62.0,87.0,87.0,96.0,88.0,89.0,81.0,95.0,94.0,89.0,96.0,92.0,84.0,80.0,61.0,81.0,49.0,85.0,51.0,36.0,87.0,90.0,92.0,94.0
210514,RWB,83.0,58.0,68.0,81.0,62.0,85.0,82.0,69.0,75.0,84.0,88.0,87.0,79.0,81.0,79.0,80.0,72.0,90.0,60.0,68.0,73.0,76.0,78.0,78.0,46.0,82.0
215914,CDM,68.0,65.0,54.0,86.0,56.0,79.0,49.0,49.0,81.0,80.0,79.0,77.0,82.0,93.0,92.0,71.0,77.0,97.0,73.0,63.0,90.0,92.0,72.0,79.0,54.0,85.0
199042,CM,78.0,66.0,53.0,85.0,68.0,79.0,75.0,76.0,84.0,83.0,72.0,54.0,80.0,87.0,86.0,80.0,61.0,87.0,64.0,77.0,80.0,85.0,75.0,81.0,76.0,81.0
188350,CAM,85.0,87.0,44.0,86.0,90.0,86.0,88.0,86.0,76.0,87.0,84.0,82.0,84.0,85.0,84.0,88.0,71.0,74.0,67.0,87.0,51.0,48.0,87.0,85.0,91.0,85.0
212886,CAM,73.0,75.0,67.0,80.0,64.0,78.0,76.0,81.0,74.0,79.0,75.0,76.0,79.0,73.0,75.0,80.0,78.0,79.0,78.0,79.0,78.0,76.0,72.0,77.0,76.0,79.0
216352,CM,72.0,69.0,70.0,83.0,65.0,81.0,79.0,74.0,84.0,85.0,63.0,64.0,73.0,75.0,74.0,80.0,67.0,92.0,70.0,84.0,84.0,81.0,70.0,80.0,69.0,82.0
188545,ST,71.0,92.0,85.0,82.0,89.0,85.0,79.0,85.0,70.0,88.0,77.0,76.0,78.0,92.0,82.0,88.0,84.0,78.0,85.0,84.0,81.0,39.0,93.0,78.0,88.0,86.0
178562,CM,80.0,68.0,55.0,86.0,65.0,83.0,83.0,81.0,85.0,85.0,67.0,63.0,76.0,81.0,82.0,76.0,57.0,72.0,67.0,80.0,83.0,79.0,75.0,85.0,78.0,80.0
202126,ST,75.0,94.0,86.0,81.0,85.0,80.0,78.0,68.0,83.0,84.0,68.0,69.0,69.0,91.0,73.0,90.0,79.0,87.0,84.0,86.0,81.0,35.0,93.0,81.0,90.0,91.0
171579,CAM,80.0,82.0,90.0,81.0,55.0,78.0,78.0,68.0,80.0,83.0,47.0,49.0,57.0,82.0,63.0,85.0,91.0,75.0,84.0,86.0,84.0,69.0,84.0,82.0,79.0,83.0
169195,CM,75.0,78.0,65.0,85.0,77.0,82.0,80.0,83.0,83.0,81.0,73.0,70.0,71.0,86.0,73.0,81.0,49.0,81.0,76.0,81.0,67.0,72.0,74.0,83.0,78.0,82.0
181458,LM,83.0,79.0,80.0,78.0,81.0,82.0,73.0,75.0,74.0,83.0,83.0,84.0,77.0,78.0,74.0,84.0,84.0,89.0,76.0,78.0,65.0,69.0,83.0,76.0,76.0,80.0
138412,CM,86.0,62.0,66.0,84.0,76.0,77.0,81.0,75.0,81.0,80.0,63.0,59.0,70.0,84.0,73.0,82.0,62.0,87.0,70.0,70.0,85.0,79.0,72.0,79.0,88.0,86.0
183898,RW,87.0,79.0,51.0,83.0,77.0,88.0,89.0,88.0,80.0,87.0,85.0,84.0,94.0,84.0,77.0,83.0,72.0,78.0,60.0,85.0,73.0,42.0,85.0,88.0,73.0,86.0
205632,ST,76.0,81.0,77.0,78.0,81.0,81.0,80.0,65.0,70.0,81.0,79.0,83.0,79.0,83.0,58.0,84.0,82.0,91.0,81.0,73.0,83.0,72.0,80.0,77.0,79.0,76.0
230767,CAM,72.0,66.0,64.0,78.0,68.0,84.0,69.0,68.0,76.0,80.0,79.0,79.0,77.0,76.0,90.0,85.0,81.0,86.0,76.0,77.0,90.0,70.0,74.0,77.0,68.0,76.0
210008,CM,70.0,69.0,77.0,84.0,72.0,78.0,73.0,59.0,79.0,84.0,71.0,74.0,75.0,83.0,72.0,80.0,73.0,78.0,83.0,79.0,76.0,80.0,76.0,80.0,67.0,81.0
