userid	timestamp	action	value	testids
user_10000	1690646223	mainpage	0	13535;23346;23464;25661
user_10000	1690646226	search	0	13535;23346;23464;25661
user_10000	1690905433	product	0	13535;23346;23464;25661
user_10000	1691078266	category	0	13535;23346;23464;25661
user_10000	1691078285	cart	11300.0	13535;23346;23464;25661
user_10000	1691078293	category	0	13535;23346;23464;25661
user_10000	1691078303	cart	6920.0	13535;23346;23464;25661
user_10000	1691078334	search	0	13535;23346;23464;25661
user_10000	1691078342	category	0	13535;23346;23464;25661
user_10000	1691078359	product	0	13535;23346;23464;25661
user_10000	1691078378	cart	1510.0	13535;23346;23464;25661
user_10000	1691078384	mainpage	0	13535;23346;23464;25661
user_10000	1691078414	category	0	13535;23346;23464;25661
user_10000	1691078416	product	0	13535;23346;23464;25661
user_10000	1691078424	category	0	13535;23346;23464;25661
user_10000	1691078437	product	0	13535;23346;23464;25661
user_10000	1691337651	product	0	13535;23346;23464;25661
user_10000	1691337663	cart	5250.0	13535;23346;23464;25661
user_10000	1691337679	product	0	13535;23346;23464;25661
user_10000	1691337690	category	0	13535;23346;23464;25661
user_10000	1691337705	product	0	13535;23346;23464;25661
user_10000	1691337713	cart	37800.0	13535;23346;23464;25661
user_10000	1691337728	category	0	13535;23346;23464;25661
user_10000	1691337740	cart	913.0	13535;23346;23464;25661
user_10000	1691337749	category	0	13535;23346;23464;25661
user_10000	1691596959	product	0	13535;23346;23464;25661
user_10000	1691596965	product	0	13535;23346;23464;25661
user_10000	1691596983	search	0	13535;23346;23464;25661
user_10000	1691596987	category	0	13535;23346;23464;25661
user_10000	1691596991	product	0	13535;23346;23464;25661
user_10000	1691597012	cart	21600.0	13535;23346;23464;25661
user_10000	1691856214	product	0	13535;23346;23464;25661
user_10000	1691856235	category	0	13535;23346;23464;25661
user_10000	1691856253	cart	7860.0	13535;23346;23464;25661
user_10000	1691856254	checkout	7860.0	13535;23346;23464;25661
user_10000	1691856265	confirmation	7860.0	13535;23346;23464;25661
user_10000	1691942681	search	0	13535;23346;23464;25661
user_10000	1691942690	mainpage	0	13535;23346;23464;25661
user_10000	1692029109	category	0	13535;23346;23464;25661
user_10000	1692029110	category	0	13535;23346;23464;25661
user_10000	1692029117	product	0	13535;23346;23464;25661
user_10000	1692029140	mainpage	0	13535;23346;23464;25661
user_10000	1692029144	product	0	13535;23346;23464;25661
user_10000	1692029164	search	0	13535;23346;23464;25661
user_10000	1692029172	category	0	13535;23346;23464;25661
user_10000	1692029188	mainpage	0	13535;23346;23464;25661
user_10000	1692029198	product	0	13535;23346;23464;25661
user_10000	1692029228	cart	10400.0	13535;23346;23464;25661
user_10000	1692029244	search	0	13535;23346;23464;25661
user_10000	1692029248	category	0	13535;23346;23464;25661
user_10000	1692029252	product	0	13535;23346;23464;25661
user_10000	1692029274	cart	30100.0	13535;23346;23464;25661
user_10000	1692029290	search	0	13535;23346;23464;25661
user_10000	1692029296	product	0	13535;23346;23464;25661
user_10000	1692029298	cart	4990.0	13535;23346;23464;25661
user_10000	1692029301	product	0	13535;23346;23464;25661
user_10000	1692029308	category	0	13535;23346;23464;25661
user_10000	1692029323	search	0	13535;23346;23464;25661
user_10000	1692029344	search	0	13535;23346;23464;25661
user_10000	1692029346	product	0	13535;23346;23464;25661
user_10000	1692029371	mainpage	0	13535;23346;23464;25661
user_10000	1692115798	product	0	13535;23346;23464;25661
user_10000	1692202206	mainpage	0	13535;23346;23464;25661
user_10000	1692202220	product	0	13535;23346;23464;25661
user_10000	1692202224	cart	4220.0	13535;23346;23464;25661
user_10000	1692202237	product	0	13535;23346;23464;25661
user_10000	1692202251	category	0	13535;23346;23464;25661
user_10000	1692202258	cart	52100.0	13535;23346;23464;25661
user_10000	1692202270	search	0	13535;23346;23464;25661
user_10000	1692202277	product	0	13535;23346;23464;25661
user_10000	1692202284	category	0	13535;23346;23464;25661
user_10000	1692202285	search	0	13535;23346;23464;25661
user_10000	1692202295	product	0	13535;23346;23464;25661
user_10000	1692202325	cart	33200.0	13535;23346;23464;25661
user_10000	1692547928	search	0	13535;23346;23464;25661
user_10000	1692547934	search	0	13535;23346;23464;25661
user_10000	1692634350	category	0	13535;23346;23464;25661
user_10000	1692634367	product	0	13535;23346;23464;25661
user_10000	1692634375	search	0	13535;23346;23464;25661
user_10000	1692634378	search	0	13535;23346;23464;25661
user_10000	1692634405	search	0	13535;23346;23464;25661
user_10000	1692634438	category	0	13535;23346;23464;25661
user_10000	1692634453	product	0	13535;23346;23464;25661
user_10000	1692634461	search	0	13535;23346;23464;25661
user_10000	1692634476	product	0	13535;23346;23464;25661
user_10000	1692634482	product	0	13535;23346;23464;25661
user_10000	1692634487	cart	6760.0	13535;23346;23464;25661
user_10000	1692634502	search	0	13535;23346;23464;25661
user_10000	1692634504	product	0	13535;23346;23464;25661
user_10000	1692634506	search	0	13535;23346;23464;25661
user_10000	1692634511	product	0	13535;23346;23464;25661
user_10000	1692634530	search	0	13535;23346;23464;25661
user_10000	1692634544	product	0	13535;23346;23464;25661
user_10000	1692634569	mainpage	0	13535;23346;23464;25661
user_10000	1692634585	search	0	13535;23346;23464;25661
user_10000	1692634589	category	0	13535;23346;23464;25661
user_10000	1692720996	product	0	13535;23346;23464;25661
user_10000	1692721011	category	0	13535;23346;23464;25661
user_10000	1692721014	cart	33800.0	13535;23346;23464;25661
user_10000	1692893836	category	0	13535;23346;23464;25661
user_10000	1692893853	category	0	13535;23346;23464;25661
user_10000	1692893855	cart	38200.0	13535;23346;23464;25661
user_10000	1692893858	search	0	13535;23346;23464;25661
user_10000	1692893859	mainpage	0	13535;23346;23464;25661
user_10000	1692893869	product	0	13535;23346;23464;25661
user_10000	1692893874	search	0	13535;23346;23464;25661
user_10000	1692893889	search	0	13535;23346;23464;25661
user_10000	1692893891	category	0	13535;23346;23464;25661
user_10000	1692893894	category	0	13535;23346;23464;25661
user_10000	1692893916	mainpage	0	13535;23346;23464;25661
user_10000	1692893927	search	0	13535;23346;23464;25661
user_10000	1692893957	search	0	13535;23346;23464;25661
user_10000	1693153194	search	0	13535;23346;23464;25661
user_10000	1693153203	search	0	13535;23346;23464;25661
user_10000	1693498806	product	0	13535;23346;23464;25661
user_10000	1693498811	search	0	13535;23346;23464;25661
user_10000	1693498827	mainpage	0	13535;23346;23464;25661
user_10000	1693498837	category	0	13535;23346;23464;25661
user_10000	1693498847	product	0	13535;23346;23464;25661
user_10000	1693498853	category	0	13535;23346;23464;25661
user_10000	1693498865	category	0	13535;23346;23464;25661
user_10000	1693498883	cart	6890.0	13535;23346;23464;25661
user_10000	1693498884	search	0	13535;23346;23464;25661
user_10000	1693498929	product	0	13535;23346;23464;25661
user_10000	1693498950	cart	3790.0	13535;23346;23464;25661
user_10000	1693498961	checkout	10680.0	13535;23346;23464;25661
